,Title,Published_date,Views,Likes,Favorites,Comments,Month
0,Practice SQL and Python right on your Phone!,2023-12-13,1397,132,0,5,Dec
1,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12,4510,309,0,40,Dec
2,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11,9465,453,0,9,Dec
3,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05,4542,182,0,14,Dec
4,#Excel is Frustrating,2023-11-29,4221,280,0,7,Nov
5,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28,12460,402,0,11,Nov
6,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28,4054,144,0,7,Nov
7,Where Clause in MySQL | Beginner MySQL Series,2023-11-21,5446,157,0,19,Nov
8,Why Data Analysts Hate Using Excel,2023-11-14,19831,809,0,129,Nov
9,Select Statement in MySQL | Beginner MySQL Series,2023-11-07,12445,206,0,17,Nov
10,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31,15379,467,0,42,Oct
11,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26,20257,847,0,14,Oct
12,How to Start a Data YouTube Channel,2023-10-24,7264,357,0,44,Oct
13,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20,5058,240,0,11,Oct
14,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17,12528,477,0,205,Oct
15,Data Analyst vs Business Analyst,2023-10-13,14252,885,0,8,Oct
16,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10,30935,838,0,208,Oct
17,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09,14041,850,0,11,Oct
18,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,9186,696,0,16,Oct
19,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,31187,661,0,40,Oct
20,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,8653,281,0,20,Sep
21,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,9632,650,0,7,Sep
22,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,10057,322,0,21,Sep
23,My Very First Video,2023-09-25,5496,305,0,22,Sep
24,#DataAnalyst #CareerPath,2023-09-22,11649,934,0,14,Sep
25,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,37022,913,0,52,Sep
26,#Excel #DataAnalyst #DataAnalysis,2023-09-18,11067,950,0,19,Sep
27,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,36198,1347,0,101,Sep
28,#DataAnalysis #DataAnalyst,2023-09-07,13421,992,0,20,Sep
29,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,11750,583,0,27,Sep
30,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,35139,1640,0,111,Aug
31,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,8228,500,0,9,Aug
32,#DataAnalyst #DataAnalysis,2023-08-24,16100,1090,0,50,Aug
33,Regular Expression Use Cases in Python,2023-08-22,5491,142,0,18,Aug
34,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8352,320,0,25,Aug
35,#DataAnalystSalary #DataAnalysis,2023-08-17,21523,1595,0,32,Aug
36,How to Work with Recruiters on LinkedIn,2023-08-15,21574,1145,0,69,Aug
37,#dataanalysis #dataportfolio,2023-08-14,16531,1488,0,18,Aug
38,#wife #careerchange #dataanalysis,2023-08-11,15747,1492,0,46,Aug
39,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,6056,682,0,41,Aug
40,Regular Expression Character Classes in Python,2023-08-08,6273,128,0,13,Aug
41,#Recruiters #dataanalysis #data,2023-08-03,13522,931,0,24,Aug
42,Regular Expression Metacharacters in Python,2023-08-01,4288,116,0,8,Aug
43,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,15457,648,0,41,Jul
44,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,32597,2151,0,37,Jul
45,Regular Expression Methods in Python,2023-07-25,5059,178,0,8,Jul
46,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,18604,859,0,63,Jul
47,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,145113,3122,0,143,Jul
48,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,159196,5113,0,95,Jul
49,Find and Find_All | Web Scraping in Python,2023-07-04,21344,715,0,18,Jul
50,500k Livestream!!,2023-06-28,6228,386,0,24,Jun
51,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,40113,975,0,31,Jun
52,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,26411,794,0,26,Jun
53,Best Places to Find Datasets for Your Projects,2023-06-13,40099,1587,0,52,Jun
54,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,60351,1619,0,88,Jun
55,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,10120,365,0,21,May
56,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,147106,3610,0,124,May
57,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,137904,3748,0,197,May
58,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,56259,1871,0,54,May
59,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,43540,1324,0,384,May
60,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,33130,804,0,80,May
61,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,29414,698,0,24,May
62,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,37708,975,0,35,May
63,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,10133,341,0,27,Apr
64,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,40951,994,0,51,Apr
65,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,37918,1068,0,34,Apr
66,Google Business Intelligence Professional Certification Review,2023-04-18,33703,1004,0,63,Apr
67,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,131296,3848,0,371,Apr
68,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,28902,813,0,40,Apr
69,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,37295,1730,0,86,Mar
70,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,22241,589,0,23,Mar
71,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,108403,3550,0,192,Mar
72,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,34401,862,0,37,Mar
73,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11110,398,0,33,Mar
74,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,61728,1198,0,51,Feb
75,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,31810,786,0,58,Feb
76,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,431458,8212,0,224,Feb
77,FREE Data Analyst Bootcamp!!,2023-02-07,690724,25072,0,1197,Feb
78,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,835022,30766,0,919,Jan
79,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17077,622,0,23,Jan
80,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,33339,1274,0,114,Jan
81,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,21040,670,0,44,Jan
82,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,45309,1359,0,36,Jan
83,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,57222,2795,0,222,Jan
84,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,41723,936,0,58,Jan
85,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,5728,194,0,12,Dec
86,Why I Quit my 125k Analytics Job,2022-12-20,153366,8583,0,866,Dec
87,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5025,168,0,16,Dec
